# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 62
3 RADIAL 760 1140 4091.4429895158137 380.0 570.0 0.0 0.0
20 RADIAL 1140 760 1636.5771958063253 570.0 380.0 0.0 0.0
428 RADIAL 760 906 625.297344899839 380.0 453.0 -2.0964615176737863e-16 -2.521480653583033e-17
510 RADIAL 1140 760 892.6784704398139 570.0 380.0 -6.890228229169337e-18 -9.439810509489411e-19
511 RADIAL 1140 760 892.6784704398139 570.0 380.0 -2.6965370320084816e-17 -5.7258116281704134e-18
258 RADIAL 1140 760 1074.857142857143 570.0 380.0 -1.1455982125179374e-27 -4.6523630405093044e-29
382 RADIAL 760 1140 1584.7533632286993 380.0 570.0 -1.4907641475229955e-28 -7.902235006566658e-29
386 RADIAL 760 1013 2152.086263478668 380.0 506.5 1.8182257789212796e-27 8.516333417515326e-29
132 RADIAL 1140 760 879.4285714285714 570.0 380.0 -9.928276715393087e-28 -9.302330705650277e-29
264 RADIAL 760 1013 1036.2107127047366 380.00000000000006 506.49999999999994 -4.114646288931305e-28 2.717841522640157e-28
520 RADIAL 760 1011 1213.4876033057851 380.0 505.5 2.624245179202826e-27 2.6393329143871558e-28
266 RADIAL 760 1013 1036.2107127047366 380.00000000000006 506.49999999999994 0.0 0.0
143 RADIAL 1580 777 1940.8277109419237 789.9999698003146 388.4444294388961 0.0 0.0
17 RADIAL 1140 760 1487.7974507330232 570.0 380.0 -1.623858184483549e-28 -2.9615391885238175e-29
19 RADIAL 1140 760 991.8649671553487 570.0 380.0 0.0 0.0
152 RADIAL 1352 755 1483.6296869322312 676.0 377.30232558139534 -1.1887762137201381e-27 -2.1240506586929046e-29
154 RADIAL 1351 754 1100.69286049244 675.5 377.0232558139535 -3.7261582931642056e-28 2.7659825490125465e-28
284 RADIAL 760 1013 1216.0 380.0 506.5 0.0 0.0
287 RADIAL 1351 760 1173.3522727272725 675.5 380.0 -9.47135176201716e-28 -5.273016113282452e-28
32 RADIAL 1140 760 1226.2948207171314 570.0 380.0 -1.0611457992705682e-27 6.102120287656407e-28
37 RADIAL 1147 760 1704.1142857142859 573.5 380.0 -5.438302310004681e-28 -2.261252162557039e-28
302 RADIAL 760 1013 1216.0 380.0 506.5 0.0 0.0
303 RADIAL 1157 771 955.0952660242717 578.5 385.6666666666667 -1.3286464907452722e-27 2.437939960846538e-27
47 RADIAL 1013 760 839.3428571428572 506.5 380.0 5.884321685070515e-28 6.4502908659677035e-28
46 RADIAL 1386 774 1174.956506684769 692.9999999999999 386.79069767441854 3.7521954215648627e-28 -7.780147418497034e-28
174 RADIAL 760 863 1035.2205882352941 380.0 431.5 0.0 0.0
179 RADIAL 1013 767 938.2914526140368 506.5 383.2972972972973 -8.596348584467324e-29 4.088707864440297e-28
52 RADIAL 1142 760 1696.6857142857145 571.0 380.0 0.0 0.0
