# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 39
141 RADIAL 1348 752 1161.5878082034237 674.0 376.18604651162786 -0.0001150841107585005 -0.06190958045370848
142 RADIAL 1576 777 1326.0736274142075 788.0000100665624 388.44444945898925 0.07057969691542791 -0.05268635548740036
110 RADIAL 1013 760 899.198262577545 506.5 380.0 0.038018453846491565 0.07130098122147523
146 RADIAL 1013 760 888.218603946629 506.5 380.0 -0.12186000185615388 -0.05477045264699309
55 RADIAL 1013 760 860.857650629712 506.5 380.0 0.04398614740854749 -0.051113123986040086
481 RADIAL 1013 767 920.09822980354 506.5 383.2972972972973 0.13408728695987676 -0.31151657891435414
274 RADIAL 1249 762 1157.1049432446907 624.5 380.7926829268293 -0.013026094374786818 0.029494951588818544
205 RADIAL 1140 760 975.2278025433467 570.0 380.0 -0.1734827882194418 0.10701853324271497
96 RADIAL 768 768 839.2025219881849 384.0 384.0 0.0955584718533533 -0.0009609896475755997
175 RADIAL 1185 770 937.7492932067352 592.5 385.125 0.03562547019475173 -0.0284560755294302
278 RADIAL 1013 767 1192.3343819545134 506.5 383.2972972972973 -0.10321129741749316 -0.003991753900026196
313 RADIAL 1013 767 1044.6365727456964 506.5 383.2972972972973 -0.031050075066503053 0.015538539851982275
401 RADIAL 1351 760 1086.9033055226648 675.5 380.0 0.028721974155651434 -0.06244741147080105
351 RADIAL 1013 760 955.5906353480043 506.5 380.0 -0.06385702773587833 -0.005006211327658473
343 RADIAL 760 1013 1450.0869644349382 380.0 506.5 -0.06918617505584213 0.00168497362728737
448 RADIAL 1013 767 1107.408732472762 506.5 383.2972972972973 -0.08926327169764754 -0.007309758735024085
161 RADIAL 1013 767 1011.0449363441945 506.5 383.2972972972973 0.0274677059235128 -0.011455004896131105
493 RADIAL 1351 754 1166.803991375106 675.5 377.0232558139535 0.06367867773936448 -0.045022895451761025
439 RADIAL 1013 767 1025.081374426207 506.5 383.2972972972973 -0.03347869411886163 0.014205805850324346
447 RADIAL 1351 754 1083.674965053212 675.5 377.0232558139535 0.028721682698352444 -0.03607822242983718
114 RADIAL 1140 760 972.4201327299365 570.0 380.0 -0.11804795692117212 -0.029101784736629055
456 RADIAL 1140 760 1053.394409690926 570.0 380.0 -0.43931982961548643 1.0061631818003585
75 RADIAL 760 985 844.2420564263961 380.0 492.5 0.00995147567023129 0.0009281052638979387
288 RADIAL 1013 760 813.6998307790767 506.49999999999994 380.00000000000006 0.2762944252741976 -3.3760188285427457
67 RADIAL 1091 760 857.219563604029 545.5 380.0 0.06225063300311693 0.0036237724708843093
112 RADIAL 1013 760 1086.3113668544574 506.5 380.0 -0.29242114896098187 0.5000346177739016
333 RADIAL 760 1013 758.1093963929937 380.00000000000006 506.49999999999994 -0.056186737510770184 -0.009771474943487188
384 RADIAL 1013 760 786.4049249112201 506.5 380.0 0.12043980386960296 -0.7462216596563092
74 RADIAL 1926 777 1189.9917787984027 962.9999898362724 388.44443760918904 -0.021566758984470278 -0.0005287810179548181
494 RADIAL 1013 760 879.6982858195555 506.49999999999994 380.00000000000006 -0.06856748435480951 -0.015922318553513306
443 RADIAL 1013 760 824.2351411967747 506.5 380.0 0.004273800239180589 -0.027767428915955697
84 RADIAL 1614 777 1210.3154393744778 807.0000019073486 388.44444444444446 -0.11673938191825496 -0.03088637076346043
100 RADIAL 1025 776 901.1229931432773 512.5 387.8378378378378 -0.019995501693308278 -0.0005393344386714286
173 RADIAL 1265 760 976.2059062030179 632.5 380.0 -0.06773416514061485 -0.02164621004992472
151 RADIAL 1144 760 882.5142857142858 572.0 380.0 0.0 0.0
221 RADIAL 1140 760 814.2857142857144 570.0 380.0 0.0 0.0
363 RADIAL 1013 760 1019.5779220779222 506.5 380.0 0.0 0.0
347 RADIAL 760 817 980.856 380.0 408.5 0.0 0.0
45 RADIAL 1013 760 897.2285714285714 506.5 380.0 0.0 0.0
