# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 529, mean observations per image: 58.380
32 0.9991679888516889 -0.01088243354141352 0.0114223985119371 -0.03760892854791758 -0.3159589093626371 -0.02636412622284121 0.114955685018198 32 image_000032.jpg

258 0.9937356713296313 0.006177137446673853 0.08969647613396912 -0.06637620559477936 -0.3603420876111157 0.01145271921408758 0.2764871507667518 258 image_000258.jpg

179 0.992769244497166 -0.002183082604202429 -0.1199962535981864 -0.002315265269735307 -0.08156752609088769 -0.05487464429481998 -0.02150327453566736 179 image_000179.jpg

354 0.9966990122354764 -0.0487263758782215 -0.06243739333240017 -0.01784352029323447 -0.1124012282138965 -0.05189418631193166 0.001192637874525504 354 image_000354.jpg

72 0.9896286848941114 0.002383161275223089 0.1127048487796637 -0.08903372191838847 -0.3035439886158092 0.03435786721551999 0.3271087518645428 72 image_000072.jpg

37 0.9788639281546095 -0.05407588270037969 0.1689977084009477 -0.101690627017097 -0.3633854353552221 0.03118820511345335 0.2251256587098777 37 image_000037.jpg

343 0.9603054936199467 -0.03674102677693079 0.2570342470200319 -0.1019649534574143 -0.6130506828613473 0.07426777939203308 0.3623281881777365 343 image_000343.jpg

340 0.9901251976050816 -0.1113989796328286 -0.06872737510787051 0.05018872697175233 -0.07200857830817586 -0.1024551589972164 -0.04278180320724145 340 image_000340.jpg

382 0.9867024258695661 -0.0654908813876405 0.121500595381132 -0.08583048735859408 -0.3439497004617291 -0.006095928553011498 0.1118478605461172 382 image_000382.jpg

39 0.9980874116416986 -0.0161902681627311 0.01772246548672308 -0.05696760620093986 -0.3979672942031106 0.01543587816871253 0.2215776951337566 39 image_000039.jpg

264 0.9856829469437473 -0.04911951905372779 0.1464317782742013 -0.06763235367540933 -0.3550787181457972 -0.06708742186759273 -0.02873541249906375 264 image_000264.jpg

329 0.9981990033730129 -0.0166743295313558 0.03501634958469682 -0.04576649059700835 -0.2475773855632457 -0.015638584344385 0.1108408247777621 329 image_000329.jpg

318 0.5864471457859917 0.1983837280719133 0.2209733485154993 -0.7535876995291262 0.07386990381372815 0.627551687793678 -0.230207422061822 318 image_000318.jpg

8 0.9489748993021064 -0.03458502654870937 0.2925123138198551 -0.1126368620698249 -0.6298123546239647 0.1923281162250462 0.9419381720546524 8 image_000008.jpg

460 0.9890572498829781 0.009715666244288391 0.1262263667596397 -0.07575134730162292 -0.4317500022101934 0.03896385916336849 0.4361341457844222 460 image_000460.jpg

266 0.9820520518673125 -0.1591814178094229 0.07304641298656094 -0.06999475121164726 -0.184690098087165 -0.2375137970208215 -0.3204752224491554 266 image_000266.jpg

71 0.996063824396506 -0.06337083961888175 -0.03207745586064688 -0.05302858889422571 -0.0988039524827482 -0.1103122367008232 -0.1757613144733503 71 image_000071.jpg

268 0.9237452780852442 0.03570983581358949 0.3679242945448543 -0.1002555850067849 -0.6702691412339076 0.02114639420054489 0.54675728685516 268 image_000268.jpg

281 0.9434282458148309 -0.009497265547697639 0.3116269624578608 -0.112878621603715 -0.6078364835630671 0.1880267293686305 1.069694034294297 281 image_000281.jpg

154 0.9917722848742466 0.0186377441699399 -0.1241676107752234 -0.02495543792332105 -0.1396903236948851 -0.01938259678233734 0.09970891080158484 154 image_000154.jpg

510 0.990020567946103 -0.09537904900044585 0.08422212319667878 -0.06057017434092074 -0.3498129311502394 -0.1449176115620672 -0.2022089674903507 510 image_000510.jpg

87 0.9807112582030897 -0.1503077959865663 0.09694684813597218 -0.07883085142172606 -0.2357796957176729 -0.230354592819532 -0.3183206387975586 87 image_000087.jpg

3 0.9779650418899334 0.00649798987422481 0.1904764856611006 -0.08521068817356177 -0.4335917218546658 0.1109924682193248 1.708315152344216 3 image_000003.jpg

7 0.9464258091186235 -0.07172484944252799 0.2864014797164956 -0.1307972714654525 -0.6220927303239134 0.1096698020157726 0.9146488893657182 7 image_000007.jpg

132 0.9985617528670071 -0.02846571029148045 0.002228851528481028 -0.04537798221203876 -0.05055088827846976 -0.05259855795882942 -0.04272466373076267 132 image_000132.jpg

483 0.9936343405361837 -0.0418415191296212 0.04605808271885152 -0.09390813383521371 -0.1410957792738745 -0.02675103839924972 0.0306277573300523 483 image_000483.jpg

295 0.986791651587134 -0.15674561871447 -0.02798459780477006 -0.02983135359751114 0.04517963133905301 -0.2561062309616116 -0.3287921979655366 295 image_000295.jpg

25 0.9945357089553324 -0.07150918909936345 -0.06914943629717192 -0.03167830403997749 -0.1425974603246435 -0.09634875091847453 -0.1269445484419799 25 image_000025.jpg

