# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 88, mean observations per image: 223.023
200 0.9808714203697382 -0.07713486589287233 0.1754749598552471 -0.03391176240393017 -0.2387304538171328 -0.1518381274251615 -0.6676886410353507 200 image_000200.jpg

187 0.9915473892445721 -0.121246777496032 -0.04491109399130822 -0.01076974770385437 0.236514571473748 -0.2504329875367545 -0.7451412982393856 187 image_000187.jpg

124 0.9868924851539312 -0.1193557344973972 0.1005488789361966 -0.04107741878402721 -0.07375769960354588 -0.2248733895318344 -0.7044103200945236 124 image_000124.jpg

175 0.9892334444955331 -0.04017055239220495 -0.03799964568652248 0.1354974019666317 0.1777024149613738 -0.06359953298474554 -0.6528182334943399 175 image_000175.jpg

98 0.9927811584172299 -0.1145086449463604 -0.01987165336338947 -0.02963881098992941 0.2316539617362792 -0.2349513836142071 -0.7108295747923745 98 image_000098.jpg

39 0.974448131192586 -0.1882880267847 0.119871763292081 -0.02508423708323926 -0.1020980174170391 -0.2914986618253694 -0.6043068753046071 39 image_000039.jpg

231 0.9943287240710885 -0.05532029173001321 0.08553363958385124 -0.03056223665910725 -0.01256525785159967 -0.110668732060561 -0.5355156739464141 231 image_000231.jpg

234 0.9774182091388586 -0.03979708798854444 -0.2066485557730722 -0.01913663053732182 0.4075587273839473 -0.0947542949830992 -0.4165916715499066 234 image_000234.jpg

13 0.991497554589623 -0.09112222128477133 0.09175105126421421 -0.01452875159256088 -0.0268840924551011 -0.1468724099957209 -0.5611825380294868 13 image_000013.jpg

157 0.9918348363766396 -0.03702662780812263 0.1213511534019811 -0.01290673277372537 -0.007830706448371944 -0.01902557648698643 -0.09932574958092366 157 image_000157.jpg

135 0.9850683178177796 -0.006719152860880856 0.1698540858454758 -0.02729197204453865 -0.23281634592705 -0.0461815889803397 -0.5388831070625084 135 image_000135.jpg

9 0.970488760105962 -0.02970608144299624 0.2377856383776102 -0.0269648922609967 -0.4027850338771712 -0.06717102253729861 -0.4596478706373988 9 image_000009.jpg

109 0.9168826213105866 -0.05364031811166092 0.3920378636866672 -0.05249084155832785 -0.6942703597718353 -0.05415026984161046 -0.262858823410381 109 image_000109.jpg

16 0.9897628030563526 -0.03623980016831799 0.1372217251893322 -0.01504887722906596 -0.1299555234517867 -0.01514031951892102 -0.1565022276680212 16 image_000016.jpg

146 0.9876539039141644 -0.07993294001006941 0.130437063753528 -0.03371444176929711 -0.1154284915516384 -0.1048604536345081 -0.453338681984307 146 image_000146.jpg

176 0.993590133681579 -0.007669838573553553 0.1113629320463992 -0.01783584012337892 -0.04853784874607821 -0.03257773026334199 -0.3327969988779914 176 image_000176.jpg

214 0.9714781634281278 -0.01603429679760165 0.2344668536334164 -0.03159705454254502 -0.404309498544119 -0.03889007965960909 -0.392699642732996 214 image_000214.jpg

188 0.9894141654494876 -0.0005591975571443393 0.144097535058629 -0.01718129494576597 -0.1633659820277661 0.008097859652396844 -0.1822475611511576 188 image_000188.jpg

206 0.9842323931494098 -0.0556307370120036 0.1668198057897922 -0.01905176556498571 -0.2124645455915515 0.0826503881200077 0.3924591796729237 206 image_000206.jpg

213 0.9896144835436361 -0.02263132287032564 0.140073653343012 -0.02302973783922156 -0.1527335520636153 0.03267475100916402 0.2328428459702745 213 image_000213.jpg

136 0.9706614753057725 -0.04702797055912707 0.2344114900725556 -0.02561100670171218 -0.5293904048598003 0.06113128102582216 0.3508281451613878 136 image_000136.jpg

28 0.9830407190890952 -0.1818221930124859 -0.01416718258310536 -0.01925943089974481 0.2043623401811935 -0.3192622252641181 -0.6626330792014434 28 image_000028.jpg

93 0.9589291286820641 -0.142104257648926 0.2387315459598777 -0.05717127851213236 -0.4429533513960855 -0.2543432342022943 -0.6701265156499294 93 image_000093.jpg

159 0.9356024037761407 -0.01679176895359971 0.3509174259046792 -0.03497340046593404 -0.5820952929513589 -0.01130018163860447 -0.1385203142425743 159 image_000159.jpg

112 0.9931689475897495 -0.09912452699684163 -0.05748581193386854 -0.02202614622274066 0.2684234667339943 -0.1061968902150758 -0.2946140076855969 112 image_000112.jpg

224 0.8484332762896492 -0.08852077275675616 0.5094380266479307 -0.1131280048441632 -0.5295798194700326 0.1167185783421709 0.3386145924906988 224 image_000224.jpg

2 0.9782479748494585 -0.03693509306421107 0.2032893271852569 -0.01844310320518209 -0.2715747445112389 -0.01822491965781617 -0.1523943879835454 2 image_000002.jpg

38 0.979665407139366 -0.03855701398323158 0.1949655630497424 -0.02752228100746982 -0.2991166829376165 0.004995647274649059 -0.01298314258779643 38 image_000038.jpg

11 0.9934365461994591 0.00723942356925833 0.1139386800928439 -0.007028271506975601 -0.1161052549499187 0.01845034156485877 0.284356825881808 11 image_000011.jpg

32 0.9838937222130593 -0.0270795363667807 0.1748995223420924 -0.02509978454886981 -0.2487763903833141 -0.06378182177860163 -0.412656195867574 32 image_000032.jpg

36 0.9808465907804778 -0.0400204073151733 0.1884433639122727 -0.02876509951431465 -0.2739304714563107 -0.07601312043128594 -0.4528408728353169 36 image_000036.jpg

41 0.9916650693324842 -0.04993198711329944 0.1169936478797999 -0.02048592893900452 -0.07681388126939266 0.02616106743870722 0.1464327900734633 41 image_000041.jpg

