# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 189, mean track length: 3.15
0 0.06787210809104294 -0.3229891969843348 1.065407668750322 222 179 131 0.27
1 0.08286801178572434 -0.3601972597177687 0.9987987733490711 51 52 68 0.24
2 0.06642286735771341 -0.3308675740191274 1.010989130617822 103 95 80 0.21
3 0.0427235348563767 -0.2285557024642765 1.08532148993661 240 184 123 0.45
4 0.04425549341919699 -0.2286270100228273 1.086439177504696 238 183 123 0.64
5 0.009611702048070048 -0.2192288965301593 1.058094848560787 234 174 116 0.34
6 0.04428241080244932 -0.2269860422225781 1.085367956849758 231 164 96 0.43
7 0.04795270885911884 -0.2087506532014645 1.062882042693656 223 148 81 1.6
8 0.0665474385255439 -0.3412003968196965 1.045520709935899 164 138 91 0.21
9 0.06704465804310111 -0.3368717734390421 1.039442453502193 80 55 33 0.2
10 0.06769315231686313 -0.3202967870660255 1.019065463879583 115 78 50 0.36
11 0.08420348106138575 -0.325120723202198 1.076690038491651 135 108 86 0.42
12 0.07518901994373628 -0.3174509523915802 1.06571849024344 174 132 65 0.32
13 0.0785919073449004 -0.3204849321212053 1.005470668397091 43 29 25 0.1
14 0.03696685495548879 -0.2703796989214122 1.030133822659527 44 30 33 0.17
15 0.05232502469916367 -0.285526119830483 1.014037400710851 66 56 48 0.17
16 0.05898391104715361 -0.2699562475423671 1.074282565102715 109 65 39 0.05
17 0.02151151960709863 -0.2325794394155816 1.01113621721982 44 35 37 0.35
18 0.04650710633902433 -0.222825892153524 1.087262127778874 76 46 29 0.14
19 0.1378063984264006 -0.3023425975236941 0.9455515463728669 147 190 230 1.23
20 0.007426869519862933 -0.1707050355171309 0.9824275947780383 42 26 19 0.49
21 0.06057915920263712 -0.3418092350625773 1.021284445539278 207 171 115 0.34
22 0.08285383381747213 -0.3556250765745615 1.058922974740237 87 64 42 0.11
23 0.0807392144893373 -0.3533009589671544 1.056231930908601 186 136 82 0.09
24 0.072435135423492 -0.3349638155835565 1.0686841922673 213 170 118 0.44
25 0.06187906544257082 -0.3281548789984946 1.017108883071678 41 28 19 0.06
26 0.07886898326835368 -0.3366681403425599 1.010466106586452 94 81 65 0.04
27 0.07886898326835368 -0.3366681403425599 1.010466106586452 94 81 65 0.04
28 0.09833830686984135 -0.3360487780191465 1.088317438484848 152 172 196 0.54
29 0.08596033230144651 -0.3347261094905767 0.9938065488230338 40 28 30 0.39
30 0.05433004181065881 -0.2883194594913823 1.012031618849905 35 26 28 0.28
31 0.09185301693025183 -0.3151693422388523 1.074426679798818 226 166 100 0.21
32 0.01457533066146599 -0.2487405845498187 1.049744897909401 80 46 31 0.63
33 0.04420899260854139 -0.27060936800226 1.014793861874429 108 96 81 0.14
34 0.0282961205314769 -0.2473449871658455 1.059524019452848 80 35 10 0.07
35 0.01206425105258169 -0.2353005336251855 1.030551602752865 40 27 19 0.32
36 0.04076904699561168 -0.2606094502658605 1.011646401115987 100 86 70 0.33
37 0.06246151212578555 -0.2779347363623241 0.9982163119618849 105 96 85 0.39
38 0.007183004595481601 -0.2236426325048899 1.056679720761242 172 118 72 0.09
39 0.03150833664751573 -0.2375642250761929 1.068522200809442 242 187 136 0.28
40 0.02917237230310166 -0.233211447050466 1.067044489591888 40 15 2 0.07
41 -0.01614138338904936 -0.1990937391137354 1.050702139804625 222 165 115 0.78
42 0.02875014229760864 -0.2371848466812629 0.993234044515761 92 78 64 0.09
43 -0.01102480166146358 -0.19960042828885 1.038594357447538 85 64 45 0.06
44 0.02157025352708852 -0.2273075142895568 1.011352523233112 49 30 20 0.21
45 0.1312876558637597 -0.3192694321144198 0.956142155427357 147 183 220 0.15
46 0.2164856139255215 -0.371637923414717 1.104166051828702 106 74 58 0.3
47 0.02676486241512144 -0.2244789957868112 1.001314842270906 37 27 21 0.16
48 0.04326010013236381 -0.2248191007642546 1.082382738742879 52 20 5 0.21
49 0.007538932626033334 -0.2038094279291293 1.010475043186063 86 67 49 0.12
50 0.007538932626033334 -0.2038094279291293 1.010475043186063 86 67 49 0.12
