# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 77, mean observations per image: 155.935
0 0.9999813312553382 0.001021571481533964 0.00378127826002645 0.004689932540026393 -0.01535334084582885 0.006033760721309145 0.0057022459365065 0 image_000000.jpg

98 0.992500955805372 -0.1172923123336938 -0.01735839473955229 -0.02971619633978245 0.2289066185336905 -0.2383913137805124 -0.7058509917172179 98 image_000098.jpg

146 0.9871237015609349 -0.08222602156163911 0.133142467295411 -0.03314758810643188 -0.1170662030898298 -0.1077278283829602 -0.4500842183501567 146 image_000146.jpg

2 0.977581638870108 -0.03889738405410913 0.2061864595337858 -0.01755781201356154 -0.2729727153433791 -0.02086948347525566 -0.1496271927767702 2 image_000002.jpg

4 0.9849438450493163 -0.02345405195013331 0.1696298919022043 -0.02369027901556022 -0.2397971340421547 0.04248227969066942 0.2334888052371314 4 image_000004.jpg

11 0.9931238546323842 0.005643998220664278 0.1167811440945703 -0.005942981420406246 -0.118280472092834 0.01668135906566524 0.2857672866179919 11 image_000011.jpg

16 0.9892644781413877 -0.03892820817153653 0.1401090920089518 -0.01448548351380191 -0.1319907557991938 -0.01937718247496356 -0.1548206300085849 16 image_000016.jpg

17 0.9920072348424662 -0.003674944889687898 0.1260341942343688 -0.004850018964435827 -0.1187938890543555 0.008849597573604616 0.05827540315294344 17 image_000017.jpg

152 0.9936472579653469 0.04593381402533558 0.1026607561498312 0.003997575987799327 0.03445812543270034 -0.01804357219842279 0.09519505914960118 152 image_000152.jpg

27 0.9728678085060436 0.01822461173698808 0.2306000379799258 -0.004439953078719796 -0.2845870624369018 -0.03113661053622717 -0.1309435182707738 27 image_000027.jpg

28 0.9825877495142351 -0.1844277104995365 -0.01137416890217833 -0.01945153943097295 0.2010714873702527 -0.3217437885712103 -0.6583546287184104 28 image_000028.jpg

157 0.9913661202925602 -0.03882047959125184 0.124663742294118 -0.01204729254263858 -0.01126828357827201 -0.02103065866240904 -0.1022799334765626 157 image_000157.jpg

158 0.9947517865558808 -0.08875434789293735 0.04419381700257898 -0.02526767525368421 0.0675368620165903 -0.07467431512703401 -0.1988962671345147 158 image_000158.jpg

44 0.979528066238939 -0.0421783038900429 0.1953390693096554 -0.02425708416940951 -0.303779631836087 -0.07986268508873706 -0.4881261332166053 44 image_000044.jpg

