# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 70
193 RADIAL 1351 760 1397.921501906728 675.5 380.0 -0.043856217912366484 -0.35753634642398213
195 RADIAL 760 1351 1406.115058274447 380.0 675.5 -0.08525219856947333 -0.04010316444303359
436 RADIAL 1351 754 1060.6802631318608 675.5 377.0232558139535 0.05681257316465065 -0.053420268149387794
459 RADIAL 1147 760 887.5583083875749 573.5 380.0 -0.11007235388670483 0.14204060178347303
507 RADIAL 1140 760 1001.451883371074 570.0 380.0 0.011697040218035087 0.29956332210887476
524 RADIAL 1013 767 980.9361853207296 506.5 383.2972972972973 0.05726888488539982 -0.2336795816578472
118 RADIAL 760 1140 1096.7043063600074 380.0 570.0 0.11933956789107898 -0.32762755078734007
355 RADIAL 760 1013 945.3692119602092 380.0 506.5 -0.05017349111014041 0.0317731387865741
119 RADIAL 760 1140 1147.9240828263037 380.0 570.0 0.0496759974042899 -0.06931112667237362
299 RADIAL 1013 767 1151.0619973146504 506.5 383.2972972972973 -0.10037068973149757 -0.04851380612115795
98 RADIAL 766 766 808.2957317656394 383.0 383.0 0.07824831695316554 -0.12615987972892667
337 RADIAL 1013 760 817.1750037669551 506.5 380.0 -0.04737099697865551 0.03483741697224992
364 RADIAL 1348 752 1149.6147170896172 674.0 376.18604651162786 -0.0033684182276706954 0.16838003118661665
492 RADIAL 1140 760 925.8415929330266 570.0 380.0 -0.215875658948885 0.1929360673922996
417 RADIAL 760 1052 1158.480260575544 380.0 526.0 -0.1395045782068406 0.07713771135241235
522 RADIAL 1013 760 900.4753779753449 506.5 380.0 -0.1562558932142678 0.07050553649030852
213 RADIAL 760 921 1157.8678606702213 380.0 460.5 -0.05729176171456379 -0.2912518349461358
316 RADIAL 1140 760 1006.4562770035096 570.0 380.0 -0.16607168135502137 -0.09621157609096814
101 RADIAL 1013 760 985.5833999046959 506.5 380.0 -0.0972243797576319 0.02003108793748293
162 RADIAL 824 774 802.4399251148502 412.0 387.030303030303 0.07501566213279319 0.007001566214297828
502 RADIAL 1013 767 808.3014095041907 506.5 383.2972972972973 0.021182093718488535 0.02242963070415026
23 RADIAL 1140 760 908.9700662432161 570.0 380.0 -0.048693242547166296 -1.2644234583433134
306 RADIAL 1152 768 1011.5765536525347 576.0 384.0 -0.030160696091071117 0.07215050904289903
371 RADIAL 760 1013 770.5810438413936 380.0 506.50000000000006 0.16415165979112803 -0.5123647669536967
452 RADIAL 1351 754 1055.3647837556111 675.5 377.0232558139535 0.11198751976591267 -0.18430352314171328
2 RADIAL 760 1140 1338.4012167174303 380.0 570.0 0.0879932594883212 0.00707442391202114
103 RADIAL 760 1013 768.0858965992126 380.0 506.5 0.057704417134498705 -0.2267990158595876
472 RADIAL 1079 760 1270.3364396412912 539.5 380.0 -0.03882050545747552 -0.5153032424813658
317 RADIAL 1013 760 760.7100642621293 506.5 380.0 0.058623517221254605 -0.00482657731701527
93 RADIAL 1013 767 967.3560737575117 506.5 383.2972972972973 0.01790672420586054 -0.07245482921541421
464 RADIAL 760 1013 1043.5573154384622 380.00000000000006 506.49999999999994 0.0689303718514385 0.006882206996415774
196 RADIAL 1140 760 996.1831366161783 570.0 380.0 -0.11874809689672094 0.06883917783136198
338 RADIAL 1267 773 1219.5849142769323 633.5 386.280487804878 0.03527311719808162 -0.056359835974176514
198 RADIAL 1140 760 999.6250460043631 570.0 380.0 -0.12660635337751733 0.08620770318928088
418 RADIAL 760 842 985.8629600894491 380.0 421.00000000000006 -0.08983404512007652 -0.154184304518138
21 RADIAL 760 1013 1187.2163182493089 380.0 506.5 -1.316301403566042 16.344610410655
335 RADIAL 1016 760 2000.3104301666986 508.0 380.0 0.007243594432761232 0.00012246369552908017
378 RADIAL 760 1013 1216.2070348954985 380.00000000000006 506.49999999999994 0.0043677499906269015 0.00017671478224284308
376 RADIAL 1013 767 766.2453785349512 506.5 383.2972972972973 0.04079846701067964 -0.014849376415569453
377 RADIAL 1013 767 764.6716934204261 506.5 383.2972972972973 0.03347650419888444 0.0003608896111066386
178 RADIAL 760 1013 1215.8430677492133 380.0 506.5 0.00414718494608367 0.00021072809130135055
197 RADIAL 1140 760 997.2226727693604 570.0 380.0 -0.11575849936613708 0.06557132133957604
42 RADIAL 760 1013 405.6781735437381 380.00000000000006 506.49999999999994 -0.003967248712790247 -0.004808134890074639
380 RADIAL 1013 767 764.9038766820057 506.5 383.2972972972973 0.03658691124248458 -0.03861076294335248
248 RADIAL 760 1140 815.598059685557 380.0 570.0 -0.09495699861037873 0.004542840141850099
181 RADIAL 1153 760 888.386988523413 576.5 380.0 -0.05555329356695257 -0.011854665942175406
70 RADIAL 1013 760 1118.4565273180606 506.5 380.0 -0.18930229006065388 0.26265841156638386
441 RADIAL 760 1647 1316.4638845410739 380.0 823.5 0.09384401919327788 -0.06498184224460771
