# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 135, mean observations per image: 795.533
33 0.9613692630119454 -0.007478675804558033 0.2742589849205276 -0.02225351060936859 -0.5013772529772516 0.05955094557752905 0.4950466574218565 33 image_000033.jpg

2 0.9780269101249587 -0.03526226382202976 0.204655626527826 -0.01833058515363139 -0.275671492425299 -0.01906399295092282 -0.1465544174441989 2 image_000002.jpg

4 0.9853572671166018 -0.02120773058037758 0.1673785183799464 -0.02461137722814991 -0.2402711861549618 0.04027978362856191 0.2275966083772344 4 image_000004.jpg

36 0.9810533000110953 -0.03618062582113392 0.1882656293963889 -0.02795420613275497 -0.2737575929429215 -0.0709065148670773 -0.4728948515033766 36 image_000036.jpg

38 0.9796165679470178 -0.03665166502772898 0.1956350199089081 -0.02711040832673068 -0.3008677851040062 0.004364184100652875 -0.007731674949885442 38 image_000038.jpg

231 0.9946248708629728 -0.05277914098210362 0.08398336561400055 -0.02970728594387553 -0.01144918391019098 -0.1082659190612164 -0.5186100712121101 231 image_000231.jpg

39 0.9749965197593006 -0.1854965385777858 0.1199177325846079 -0.0243425151674674 -0.1038008398685592 -0.2883291691499517 -0.6046579297197793 39 image_000039.jpg

9 0.9705598746006784 -0.02601893429021223 0.2379785231757482 -0.02650976010089563 -0.4023554687159557 -0.06216377789180021 -0.4686881740180855 9 image_000009.jpg

234 0.9775991967795269 -0.03699994204144492 -0.2064915582725846 -0.01708950283400571 0.403867035800088 -0.09063064556928363 -0.415432246463627 234 image_000234.jpg

44 0.9802411753116764 -0.03666307476709084 0.1928127920103325 -0.02462284324334723 -0.3032542404441194 -0.07291392407571606 -0.5035269438306165 44 image_000044.jpg

77 0.9785688785893838 -0.03513265338263676 0.2021052306044852 -0.01794776545755354 -0.3466063197078296 -0.05300202058929186 -0.3825185834083767 77 image_000077.jpg

146 0.9878364241959909 -0.07811840097031021 0.1302753240377404 -0.03324235864648913 -0.1169853546332792 -0.1047475326104852 -0.4427198019524925 146 image_000146.jpg

188 0.989155624017288 0.003407262484687446 0.1458924228102142 -0.01658140536553064 -0.1689646979268999 0.013214251149126 -0.2026194520226607 188 image_000188.jpg

187 0.9917688312113792 -0.1192823325539009 -0.04553350983736152 -0.00964417233392334 0.2341189177873265 -0.2481658327194856 -0.7394731565738508 187 image_000187.jpg

28 0.983561559457453 -0.1789628967875312 -0.01554475198619473 -0.01836575663363906 0.2036704656466598 -0.315189885499346 -0.6588983927662464 28 image_000028.jpg

93 0.9593448873057051 -0.1397300557636892 0.2385818106618045 -0.05667114202144946 -0.4412442604316632 -0.2515417216732073 -0.6716318909057869 93 image_000093.jpg

136 0.9707977683809776 -0.04431723345657352 0.2344256185220625 -0.02514567767664376 -0.5261810502493727 0.06100785365601699 0.3549636444899508 136 image_000136.jpg

98 0.9930710428283498 -0.1121243116851861 -0.0205322864167367 -0.02857390136887584 0.2288343195462699 -0.2319165747603828 -0.7086877597574281 98 image_000098.jpg

