# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 73
2 RADIAL 1024 575 1189.1913853327032 512.0 287.5 0.012246749040928021 0.0036330771574731697
4 RADIAL 995 666 1705.7997172489108 497.5 333.0 0.025514687763585484 0.002620728990019905
9 RADIAL 1028 685 836.1009167171262 514.0 342.5 0.01058763871467844 0.00014109190632375808
13 RADIAL 1027 760 1079.9494644353726 513.5 380.0 -0.016410576450496137 0.034526294523065985
16 RADIAL 1032 684 1543.2569098489319 516.0 342.0 0.03678101764309052 5.948503942774565e-05
146 RADIAL 1031 760 1088.8336351398482 515.5 380.0 -0.010642001772807901 0.0841009783359916
157 RADIAL 1018 760 1570.2269644808373 509.0 380.0 0.015624976603216077 0.011516835248120597
39 RADIAL 1023 760 1219.3172281585137 511.5 380.0 -0.03016977862560196 0.12635804975532713
176 RADIAL 1022 760 1194.2319934029324 511.0 380.0 0.02454715182411574 -0.05502198891695802
187 RADIAL 1031 760 805.3004569517395 515.5 380.0 -0.05650032234439632 0.1389520706191205
200 RADIAL 1064 696 809.2683445485301 532.0 348.0 -0.03738220936628578 0.022498352545650913
85 RADIAL 1068 694 861.9670766633135 534.0 347.0 -0.01519205230606329 0.017707506910262887
214 RADIAL 1028 760 1086.6485482058902 514.0 380.0 -0.014310942905939738 0.00470137179820535
92 RADIAL 1031 760 805.8409525884874 515.5 380.0 -0.014536439793334167 0.009622178503970473
93 RADIAL 1047 579 671.3628161954182 523.5 289.5 0.01577424946211991 -0.019805702798859362
98 RADIAL 1020 760 751.9133416302739 510.0 380.0 -0.056969995722922176 0.131201816225264
109 RADIAL 1026 760 1077.1638835091321 513.0 380.0 0.009089881246311835 0.013822816904145462
113 RADIAL 1014 760 1625.8710946840959 507.0 380.0 -0.009486553050276455 0.00027880066006794556
124 RADIAL 1022 760 861.4376837715558 511.0 380.0 -0.016763192061474 0.041409901835844656
135 RADIAL 760 1026 694.3138726034787 380.0 513.0 -0.012161966368296764 0.0057211163277557636
11 RADIAL 1014 760 1828.4212069897028 507.0 380.0 0.03889001427406996 0.0008902689140230974
164 RADIAL 1033 760 1108.05280310888 516.5 380.0 0.022181338812813346 0.008272351600093555
38 RADIAL 1018 760 1562.385556636179 509.0 380.0 0.01473084345791883 0.0016543854750337662
61 RADIAL 1039 686 1204.8766102718648 519.5 343.0 0.014000772756169762 0.0037149059045779526
77 RADIAL 1066 693 811.5071789741086 533.0 346.5 -0.018076110626577012 0.06612545990959293
213 RADIAL 1024 628 1979.8863571984718 512.0 314.0 0.028218153957053786 -0.0006243000928260174
112 RADIAL 1016 760 2340.7029488365924 508.0 380.0 0.0317185302328746 -0.004828790975733118
118 RADIAL 1032 760 1105.6184632475333 516.0 380.0 -0.016080660448460207 0.003163977556303565
96 RADIAL 1024 760 1040.7826221328173 512.0 380.0 -0.010426961121814805 -0.01633420603154877
44 RADIAL 1035 578 779.7135954360638 517.5 289.0 -0.004759801156603981 0.016859726671730527
111 RADIAL 1043 690 1174.8161887970684 521.5 345.0 0.006861851848191855 0.0004248572986333594
17 RADIAL 1019 760 1139.5041813111825 509.5 380.0 0.006432058884404046 -0.002717625802541684
19 RADIAL 1050 692 1025.4230056062343 525.0 346.0 -0.02192471072444428 -0.00603194757921968
28 RADIAL 1049 689 820.5847720626158 524.5 344.5 -0.023933188991444185 0.061795905978393156
29 RADIAL 1023 760 1101.7539990767507 511.5 380.0 0.018157274118300024 0.011635305453652172
158 RADIAL 1013 757 1028.3166157662304 506.5 378.5 0.06612995118825883 -0.001893407149252963
32 RADIAL 988 741 831.0392745271247 494.0 370.5 0.03723052065848038 0.012168728732927302
172 RADIAL 1020 760 1009.6094420003927 510.0 380.0 -0.040893033763067986 -0.010373716463260851
50 RADIAL 1015 760 1153.1396041298985 507.5 380.0 0.01297272994710986 -0.0011282454315846263
