# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 2146, mean track length: 6.51
0 -0.003040238870403704 -0.12843710674124095 0.9997392284329858 150 143 129 0.33
1 0.008123689460992083 -0.11970613150039189 1.0002377194046663 105 100 89 0.17
2 0.0436347731127032 -0.1195402286180005 0.999323811448027 190 178 150 0.26
3 0.018276641961694973 -0.11452008677771565 1.000338783855946 162 158 148 0.27
4 0.05131759402451577 -0.11341191877077675 0.9981128642772398 164 156 141 0.45
5 0.09480315968166063 -0.11032213508984584 0.9952830694631777 94 89 79 0.32
6 0.041075376323807304 -0.10827011798433674 0.9981752125555785 134 129 113 0.36
7 -0.005416061401575638 -0.10735650866698464 1.0001640378043442 100 97 86 0.18
8 0.04580417715386237 -0.10694883828627229 0.9971282560788041 106 102 95 0.12
9 -0.003811852428743817 -0.10509778374174321 0.9993300548397728 171 166 150 0.22
10 -0.024565885665835483 -0.10375652141325409 1.0000061923108754 98 90 76 0.19
11 -0.017856452171496114 -0.10149836370038201 0.9988349307507298 175 169 159 0.39
12 0.09974484079247077 -0.09849008269028181 0.9932827081713895 98 95 87 0.21
13 0.1374906913036277 -0.09639010652156868 0.9869608473523959 82 77 69 0.27
14 0.1398469342612793 -0.09396925487502374 0.9865866577456356 82 75 66 0.32
15 -0.013929173057777867 -0.0943320750875472 0.9979108747191829 157 154 144 0.55
16 -0.043544603365740266 -0.09225277541146579 0.9995499835690377 107 103 96 0.2
17 0.1345716332884643 -0.08797069476836741 0.989540759922047 170 163 148 0.39
18 0.12819367733019207 -0.08749757220663569 0.9892252475866299 170 165 152 0.36
19 0.013125022382363238 -0.08703639424228962 0.9944227593738052 134 129 113 0.25
20 -0.043450983661171144 -0.08664196032888102 0.9981162642943482 133 125 114 0.41
21 -0.030633411560920486 -0.0867489334452368 0.9973626931523623 115 104 88 0.33
22 -0.015228478950104174 -0.08669402451080725 0.996969605761018 111 109 100 0.25
23 0.0860803832535738 -0.08448768408412718 0.9917271467992251 185 181 164 0.24
24 0.10703538187736292 -0.08178094678966699 0.9897570634850594 131 125 112 0.19
25 0.11115138558607486 -0.08173352504203585 0.9894131266049593 129 124 111 0.22
26 -0.044113026010308774 -0.0807990377508583 0.9968407516896269 192 186 169 0.22
27 0.2289004475603996 -0.08001090618395822 0.9866263504950493 100 94 81 0.24
28 -0.012763246641654553 -0.07998186168549076 0.9949016714552668 189 183 174 0.15
29 0.003924112243527563 -0.08008528944009269 0.9937774367121271 177 172 159 0.43
30 0.14444177955540272 -0.07862449910338024 0.9872936410543667 154 147 134 0.26
31 0.1657239317071792 -0.07388473678494113 0.9881126587904222 113 104 83 0.26
32 0.06584477512024522 -0.049919402490722506 0.9868008735918736 186 184 170 0.29
33 -0.05330105353784373 -0.0239234909766871 0.988804306282523 95 72 28 0.2
34 0.021722962660082494 -0.022642219744142444 0.9855692231493642 115 81 44 0.31
35 -0.03757401020678339 -0.0170126149514713 0.987960723900195 148 143 132 0.25
36 0.1121054605520633 -0.0165419762377147 0.9805981979107067 157 158 151 0.31
37 0.10234002276037774 -0.00929285252380496 0.9784551974997515 154 148 131 0.38
38 -0.09581901922142776 0.04067981800688157 0.9836421503746873 36 35 39 0.15
39 -0.054103081535223016 0.04054407327145039 0.97734259319913 143 142 140 0.35
40 -0.0410172459665613 0.040671741928761995 0.9746784630785054 113 113 113 0.77
41 -0.10163738516973829 0.04383829902559333 0.9818151544119227 95 91 81 0.17
42 -0.022741085272484463 0.043429199170672284 0.9760597201679336 105 84 43 0.24
43 -0.06804850382467567 0.043751868496576904 0.9712029670865415 99 95 81 0.24
44 -0.05812017518386189 0.05140704282370868 0.9714239595199896 143 140 129 0.17
45 0.03280479388511102 0.05249542210691853 0.9659751810051344 164 164 158 0.25
46 -0.06751250930837076 0.05925978446197698 0.9706687866619622 166 162 146 0.19
47 0.10221113376609262 0.060889918040647986 0.9636325666415079 145 142 131 0.21
48 0.22955952343109198 0.06267272616158558 0.9651979942487513 78 77 79 0.37
49 0.2698099588519355 0.06209016361702764 0.9593019383599436 115 115 105 0.34
50 -0.10410786526290303 0.0691890881727143 0.9796765393763442 133 128 108 0.24
51 0.20848687672509933 0.07774296611219152 0.9584156877457761 138 140 133 0.3
52 0.025110720385475314 0.08357953144386938 0.9690703827532531 37 33 24 0.33
53 -0.09712995175861043 0.09181270867483414 0.9765885337770889 115 109 92 0.21
54 0.01679524963778348 0.09240165134320222 0.9679350243630085 81 68 44 0.33
55 -0.04163402933850642 0.09492245849599985 0.9681141515412913 93 91 88 0.35
56 0.33936148573072045 0.0937931780482834 0.9543587577641542 114 114 106 0.32
57 0.21126550024373866 0.1076989341421108 0.9527973753824412 32 25 21 0.35
58 -0.035591041557708064 0.11977835451173618 0.9609797831148583 102 94 75 0.38
59 -0.00652039685391653 -0.1297076868547234 0.999252747338624 82 77 65 0.34
60 -0.002448025721378015 -0.12625313911444744 1.0012175239471448 91 86 76 0.25
61 0.11905160373113273 -0.11112092113381704 0.9901818617269509 87 81 65 0.26
62 -0.004106855478740103 -0.11211202480337792 1.0006608652857485 157 153 143 0.48
63 0.12212292539883052 -0.1089392068154507 0.9894630538254661 93 87 72 0.23
64 0.12502514250281507 -0.10684431664530208 0.9893370510207995 84 79 68 0.29
65 0.019381044830544796 -0.10484790955769463 0.9980212051022624 120 114 102 0.18
66 0.015310426844608257 -0.09956529019245557 0.9973261339802104 174 167 150 0.31
67 0.11986512834126527 -0.09840080903303113 0.992885881937564 156 150 136 0.3
68 -0.07914699701791526 -0.09456518406127526 1.001094453966748 73 67 55 0.23
69 -0.05911979563256069 -0.0936024847529718 0.9989869694985836 104 94 80 0.19
70 0.0010013209161470137 -0.09076510436147983 0.997022684470112 173 167 153 0.27
71 0.08066040151674153 -0.08939166079164684 0.9929133165073213 177 171 153 0.49
72 0.13830469853592015 -0.08491361075302178 0.9892324925821651 173 167 153 0.22
73 -0.0971862968485211 -0.08593765422522848 1.007600174425368 160 154 140 0.24
74 -0.10251738949584388 -0.08577948605715692 1.009000971357204 145 137 121 0.33
75 0.07548505586327289 -0.0816855154561717 0.9907939790823883 103 97 82 0.29
76 0.11686477670964726 -0.08174930534091013 0.9890089050372065 107 99 82 0.23
77 -0.004332632372771001 -0.08022196302569258 0.9947689473331455 182 176 161 0.31
78 0.2285768131779567 -0.07749138830985212 0.9863579948810796 163 162 157 0.46
79 0.2975257384239375 -0.07685358709326964 0.9839827602086819 134 127 111 0.38
80 -0.07468052571819112 -0.0760280929162939 1.0010189366305888 106 99 87 0.36
81 0.16092260556384752 -0.07410826350628971 0.98869165979077 109 107 95 0.54
82 -0.10420363589959944 -0.025729814193794394 1.0002472366511135 188 180 166 0.17
83 -0.07963624368910283 -0.022998615430173442 0.9952871860446609 100 82 52 0.29
84 0.060531980168122584 -0.016154123145258707 0.983239614753399 145 145 139 0.3
85 0.1708940896210392 -0.014098890699628944 0.9774419726447565 161 162 156 0.54
86 -0.1038841391904231 0.04200604634030425 0.9809841133031276 162 158 149 0.18
87 0.0002770912107028264 0.04253049539399475 0.9708297824689696 145 146 138 0.32
88 -0.0691147914892056 0.05683663184634289 0.9699635949659514 95 90 75 0.29
89 -0.03181306981138744 0.05742157481523533 0.9701343079547335 91 89 77 0.24
90 -0.09601174022196757 0.05762982513218155 0.980121479999604 67 63 54 0.26
91 0.03527964255264872 0.05784142351538713 0.966967880643228 87 82 72 0.2
92 0.025222808971891303 0.05850896045034237 0.969848928168007 47 44 28 0.2
93 0.1009591978662159 0.05808846565663434 0.963206603830575 98 93 82 0.29
94 0.3345775668754458 0.060389811198530846 0.9581083955358771 68 68 62 0.51
95 0.0024062286051666775 0.08479229158123987 0.9656213431478272 174 168 153 0.24
96 0.06758001158775069 0.09313969915769 0.9604548243710087 104 99 85 0.28
97 0.06994554107618312 0.09486119309046823 0.9599784971425672 160 157 146 0.25
98 0.10188410852755976 0.11674584706636475 0.9547727143730469 101 95 81 0.35
99 0.33892611383962823 0.1169750954321115 0.9500333376142958 118 114 100 0.29
100 0.09907060496303943 0.121910404168977 0.9541901718536263 90 86 73 0.38
101 0.06779569339444379 0.12252731520581579 0.9553871849215548 80 72 53 0.2
102 0.3391193098753952 0.12207232999899736 0.9495901393645538 40 38 31 0.32
103 0.07364915014402926 -0.12315681111115769 0.9986269871930854 158 154 146 0.31
104 0.062138867337271 -0.12197002300926335 0.9993358462249596 130 124 115 0.34
105 0.09188725944353675 -0.10697829546604297 0.9966347942179582 162 159 150 0.38
106 -0.028191414935530897 -0.10456576845333614 1.0005187174624193 159 153 138 0.39
107 0.12321532589588187 -0.10178991217637863 0.9920899458355926 98 94 84 0.45
108 0.1409010288876235 -0.08816218600942505 0.9882831182186922 71 66 57 0.4
109 -0.06204433540053081 -0.08657239476887724 0.9991667343753605 176 168 152 0.26
