# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 35
522 RADIAL 1013 760 899.6461518117115 506.5 380.0 -0.08445953426831104 -0.04356183210743796
507 RADIAL 1140 760 974.0957310645089 570.0 380.0 0.03933551808777072 0.02946576805415254
524 RADIAL 1013 767 1001.8980216763412 506.5 383.2972972972973 0.07256901184822367 0.00037824120707509695
118 RADIAL 760 1140 1108.0671998683908 380.0 570.0 0.04569665998647687 -0.01786091099688156
119 RADIAL 760 1140 1141.4981217446125 380.0 570.0 0.03902968715900566 -0.037966077865437965
23 RADIAL 1140 760 957.3576585496278 570.0 380.0 -0.09691621200347 -0.48639569219954787
196 RADIAL 1140 760 993.1447449290525 570.0 380.0 -0.08947590338755369 -0.008435162317273112
197 RADIAL 1140 760 996.0383131720737 570.0 380.0 -0.0840856161327237 0.01353374750992361
198 RADIAL 1140 760 994.6350516021984 570.0 380.0 -0.0812976583377732 -0.032673187874378444
464 RADIAL 760 1013 1045.4772017744824 380.00000000000006 506.49999999999994 0.0591368266711106 0.0023247470285889145
101 RADIAL 1013 760 988.1193820310888 506.5 380.0 -0.08030058821415867 -0.019237587385633068
371 RADIAL 760 1013 757.4176839231054 380.0 506.50000000000006 0.04436251199152614 -0.06000568347575236
299 RADIAL 1013 767 1141.644234959834 506.5 383.2972972972973 -0.12683212096373545 -0.05423732247048488
502 RADIAL 1013 767 813.061790710112 506.5 383.2972972972973 0.03523464842261372 0.008654755199368973
459 RADIAL 1147 760 885.1129952818144 573.5 380.0 -0.0936604331009702 -0.004908141279327633
248 RADIAL 760 1140 814.8674117486568 380.0 570.0 -0.06568466399224147 -0.02644742520446203
2 RADIAL 760 1140 1338.398363522007 380.0 570.0 0.0020112839680262733 6.011207603873149e-05
364 RADIAL 1348 752 1161.1655537501547 674.0 376.18604651162786 0.10891497612891149 0.07124977256719991
233 RADIAL 1140 760 919.9902857265982 570.0 380.0 -0.13870833687208722 -0.027841246472373918
306 RADIAL 1152 768 1006.2639805799153 576.0 384.0 0.0006324484021098115 0.018094268342888062
4 RADIAL 1140 760 893.8087034185064 570.0 380.0 0.028639043698786313 -0.011147529822433846
452 RADIAL 1351 754 1088.8405951073355 675.5 377.0232558139535 0.09846152362975387 0.017357609570074137
162 RADIAL 824 774 807.6236178570085 412.0 387.030303030303 0.06936216482110673 -0.004081639462106645
416 RADIAL 760 996 1093.0985711596163 380.0 498.0 0.04921820829015708 0.017111000565806417
116 RADIAL 1140 760 977.142857142857 570.0 380.0 0.0 0.0
321 RADIAL 760 1013 1216.0 380.0 506.50000000000006 0.0 0.0
99 RADIAL 760 1013 115.8095238095238 380.0 506.5 0.0 0.0
516 RADIAL 760 1013 1216.0 380.0 506.5 0.0 0.0
455 RADIAL 760 1351 1621.3333333333335 380.0 675.5 0.0 0.0
206 RADIAL 760 1108 1330.0 380.0 554.0 0.0 0.0
334 RADIAL 1016 760 2000.2499999999995 508.0 380.0 0.0 0.0
178 RADIAL 760 1013 1215.8244803695147 380.0 506.5 0.0 0.0
404 RADIAL 1140 760 1643.2432432432433 570.0 380.0 0.0 0.0
24 RADIAL 1013 760 860.0633116883118 506.50000000000006 380.0 0.0 0.0
285 RADIAL 760 814 568.3883308380628 380.0 406.99999999999994 0.0 0.0
