# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 869, mean track length: 5.79
0 0.047291981286559245 -0.08830156743289012 1.001487391649298 186 181 165 0.28
1 0.0785587806894746 -0.08792664895992029 1.0000132639278108 181 174 157 0.2
2 0.10850502603076004 -0.08498174546665808 0.9974687134249258 131 125 111 0.16
3 0.11274018752797166 -0.08495451837814874 0.9971793922806571 127 122 107 0.18
4 0.07365532713721609 -0.08503190105772256 0.9986622253345749 103 91 68 0.29
5 0.11964600273096872 -0.08250842913446436 0.9968604684088613 174 166 145 0.52
6 0.11991542211064443 -0.08263616041951082 0.9971648761849923 181 172 150 0.24
7 0.1300646839710649 -0.0820037336775262 0.9957393358816217 187 176 154 0.34
8 0.20463455835231553 0.04233957299065924 0.9718595833860925 136 135 118 0.22
9 0.3711671802163248 0.05259470786713096 0.9700841268528808 147 147 142 0.29
10 0.348580959320751 0.0813487962925908 0.9613892348505662 123 119 106 0.32
11 0.3443100187459573 0.08597858800050277 0.9608985702440787 91 89 74 0.35
12 0.12422608387095188 -0.08234886509172862 0.9960705816439235 179 172 154 0.2
13 0.12422608387095188 -0.08234886509172862 0.9960705816439235 179 172 154 0.2
14 0.1344077051893447 -0.08243827743169947 0.9965377813906082 166 155 135 0.52
15 0.22223792388772118 -0.08073016482105215 0.9940273466498833 188 178 145 0.49
16 0.17339387868384656 -0.01613827648284572 0.9848084873482023 158 161 157 0.5
17 0.1998759243615274 0.042649226193557085 0.9752561348660519 143 134 118 0.26
18 0.24083415765210028 0.04544563501127935 0.9698072509238507 60 59 49 0.32
19 0.1990133125474102 0.05685674494636394 0.971884290668245 108 104 96 0.18
20 0.17394979295930216 0.058231543319714044 0.9682775387485586 108 105 95 0.25
21 0.3516774467065312 0.06030717940468524 0.9642742204291328 42 43 39 0.24
22 0.3751204349903005 0.07067236564785366 0.9673055854455263 127 126 117 0.21
23 0.30228286020625333 -0.10450202241814519 0.9982525604182465 171 173 166 0.32
24 0.34015178990592 0.03725656142554303 0.9688498117386698 94 93 84 0.27
25 0.2689450513523452 0.06011670432828049 0.9697204613975573 51 50 43 0.22
26 0.06920646885393372 0.036464672557971985 0.9778542340843575 101 102 97 0.42
27 0.07340470414581288 0.08476223908924012 0.970174097595407 141 145 135 0.51
28 0.2779205672416232 -0.09786995063815268 0.999336489214191 69 62 46 0.58
29 0.2257291758057619 0.07109720578746635 0.9671352036639949 28 32 34 0.38
30 0.22573473426697352 0.07107150489971874 0.9671538208263047 35 38 38 0.34
31 0.08320514563527848 -0.08543606525957947 0.9988490468993796 116 108 88 0.2
32 0.08316558251030536 -0.08537380921200254 0.9987108159658693 125 119 103 0.24
33 0.10587764956489575 -0.017894654778071912 0.9874037425250908 58 58 47 0.16
34 0.2742692309767348 0.03969641467552338 0.9693450283160159 143 140 132 0.15
35 0.05383536929442425 0.04251436903548941 0.9826677821378053 28 30 43 0.15
36 0.05758131774059297 0.042690758128711516 0.9822608272528626 29 28 33 0.17
37 0.20633842513247297 0.045344112572554184 0.9699102035572241 68 66 60 0.26
38 0.12055467834953759 0.04570960445012697 0.9781949165024536 23 32 45 0.24
39 0.12437153208704949 0.045843224406507524 0.9776921999425507 31 33 37 0.27
40 0.3103876153502019 0.054142445636028415 0.963493444475882 116 120 120 0.23
41 0.14074060690278142 0.052689352429407026 0.9679943382401137 157 156 147 0.18
42 0.07366965995367733 0.057031117937865264 0.9737207534827572 97 92 80 0.29
43 0.05625449931834614 0.05724779134370734 0.9776620358987839 68 66 59 0.19
44 0.3411666341001146 0.06216542003849931 0.9642736123615361 98 98 94 0.25
45 0.03206929833883709 0.05714361581672333 0.9755486904158392 76 71 60 0.22
46 0.1004176773938223 0.06039809467708382 0.9721472320920929 128 125 115 0.14
47 0.10047142054150851 0.060385997651378504 0.97220163240276 137 133 120 0.13
48 0.10362812123129754 0.06037892071908772 0.9717255402680551 144 140 129 0.14
49 0.10763323205683602 0.060349746864773644 0.9714178871751836 137 133 121 0.17
50 0.1375190273589575 0.06086440859346856 0.9691477956205911 149 148 140 0.19
51 0.033639231933668634 0.05964169825146241 0.9763921094723114 150 143 126 0.22
52 0.3496067497282151 0.06591378420254179 0.9638850174913957 103 104 101 0.42
53 0.24078274026709845 0.06645588357601638 0.9674028778934358 95 92 81 0.22
54 0.14595097112273533 0.06526647065351092 0.9679415304770101 130 130 120 0.1
55 0.10147352085513862 0.06546870366823923 0.9719993545519428 112 106 87 0.36
56 0.06908754891502486 0.07281865209819288 0.9723818034882703 93 90 80 0.19
57 0.07114591684398369 0.073192472689182 0.97228791093902 153 148 134 0.2
58 0.06865787776929827 0.07741177984655209 0.9715604470758961 95 92 77 0.15
59 0.10018288133468434 0.07981084701981611 0.9693724591845894 92 87 70 0.22
60 0.26101761841288457 0.08719877332590507 0.9657649486081316 42 33 23 0.27
61 0.14563298123183208 0.08449173983125859 0.9645066540652176 132 127 119 0.17
62 0.03434530713019902 0.0830614150369331 0.9727362494356727 106 102 93 0.22
63 0.06624983282794147 0.0839826444591343 0.970873792898577 136 131 117 0.24
64 0.06377093587002149 0.08501134523782179 0.9705819724142264 112 104 88 0.32
65 0.13099124348339194 0.09033495242622483 0.9664652911024902 90 85 72 0.41
66 0.0850887427944134 0.09329715978064564 0.972622889608173 86 82 68 0.29
67 0.1413419333990419 0.09728501963975524 0.9632287356113037 142 144 136 0.23
68 0.14134146435952202 0.09728682845965009 0.9632535677677425 143 145 137 0.22
69 0.08192526293884861 -0.1332728677396749 1.0028918708562948 78 71 58 0.3
70 0.10600193977589441 -0.12368750928732457 1.0003439815271387 81 77 68 0.23
71 0.3193294223347884 -0.08257289830381168 0.9918211108001862 79 71 50 0.41
72 0.2107198116440539 -0.0835445092193511 0.9950578224819732 98 93 81 0.24
73 0.26781623261902543 -0.08271870713883411 0.9927028130356285 106 95 73 0.26
74 0.26795968682674853 -0.08276636955371741 0.9928812808964754 102 95 80 0.24
75 0.1184970586593471 -0.08492070357700987 0.9966661802426059 106 97 80 0.26
76 0.15852245578263224 -0.08432178650657426 0.9967048133918132 90 82 64 0.27
77 0.17785988004763814 -0.08385549641145262 0.9957461283232586 105 97 78 0.24
78 0.2052887676579975 -0.08350571604189676 0.9947968652687827 99 87 70 0.31
79 0.07634634444988067 -0.08491367401667554 0.9986453092290611 101 94 78 0.29
80 0.08516365330836179 -0.0831118388673332 0.998872514277355 178 173 158 0.34
81 0.22694335570736612 -0.08049344748664776 0.9939574606248542 171 165 149 0.32
82 0.13785468512519708 0.043226745365818574 0.9694104989027603 140 142 139 0.21
83 0.06587175653254655 0.04344228924693003 0.9765701310611496 80 78 72 0.19
84 0.10081054179170033 0.04405119116360585 0.9738623924244967 98 97 87 0.3
85 0.13614299488094037 0.04477021251962282 0.9709201894322583 65 67 65 0.27
86 0.09604180611947209 0.04856474911784413 0.9767206631474901 67 60 47 0.26
87 0.19392908085051505 0.051298181263690526 0.973449391148902 64 51 25 0.26
88 0.3396288012359118 0.05987994128515552 0.9646621052212762 67 68 61 0.43
89 0.27802187245011223 0.05957142712363263 0.9666024625210619 62 62 56 0.21
90 0.30277205674609553 0.0601401214160116 0.9686214128475873 46 46 44 0.22
91 0.35206874475079636 0.060465011531107976 0.9645337799292696 40 41 36 0.36
92 0.06851601079674369 0.05702883939200533 0.9734034939252546 89 85 74 0.24
93 0.13906290574238736 0.05793214832560628 0.9689243453809913 98 95 85 0.32
94 0.06360981563363675 0.05711089878757633 0.9743907682040309 88 83 78 0.35
95 0.14244073513580507 0.06088817944469378 0.9687055466816298 162 159 149 0.32
96 0.1373162373412178 0.06768835093023454 0.9687310118030118 159 154 139 0.21
97 0.13714830106449183 0.07285232878412005 0.9677437636152146 157 154 141 0.26
98 0.09797394338181281 0.0731352145144364 0.9704475960015935 146 139 120 0.18
99 0.10078271085797683 0.07673469947438177 0.9699210454545322 112 105 84 0.34
100 0.06865791420456388 0.08193300736188587 0.9709369520716321 85 80 65 0.15
101 0.10015696798860997 0.08261120993503358 0.9692671176636733 101 94 77 0.32
102 0.3975628076014538 0.0303187616618299 0.9840484699146193 74 77 79 0.21
103 0.34025274273442474 0.03715433128427381 0.9690292512716245 78 81 82 0.16
104 0.09210824968470087 0.0552547832949863 0.9746735885774083 122 118 111 0.3
105 0.3441636962569601 0.05990712886631816 0.963779512419272 57 55 49 0.22
106 0.20965472764787405 0.05853808877093594 0.967592207300715 69 64 52 0.17
107 0.20978367281423724 0.05854213020774417 0.9677758684540814 67 65 58 0.19
108 0.3823621950605996 0.06758411941324019 0.9683286678985591 97 98 92 0.39
109 0.06693801254720132 0.0673961081143304 0.9730754944950939 156 151 134 0.24
110 0.2668978645689241 -0.08671914835538956 0.9942397912407916 143 140 130 0.47
111 0.08500939190122445 0.04667884276790146 0.9794119860357736 66 59 45 0.2
112 0.08510342473966229 0.046670612995259854 0.9793037353224692 70 62 53 0.07
113 0.09014093172515714 0.04602425005063215 0.9769105426223786 168 147 92 0.32
114 0.09013783320068093 0.04605922910691845 0.9769200889905195 161 138 87 0.37
115 0.20989714608244114 0.06556279787816595 0.9679429749655336 75 73 60 0.3
116 0.276731911567148 0.08318279358699095 0.9635820195600524 128 126 113 0.33
117 0.037484413096928244 -0.0906604998584659 1.0022980178658152 172 152 108 0.14
118 0.08717519913177126 -0.08778129899926315 0.9995092949580876 191 186 164 0.21
119 0.12300982178913726 -0.08490059361153308 0.9963652621560165 119 106 87 0.15
120 0.10535402588488835 -0.08516286426324716 0.9972906936511138 146 136 116 0.29
121 0.10269556296012583 -0.08492785412848138 0.9964171010545815 171 158 123 0.41
122 0.06802106549040338 -0.08270180007439434 0.9983326252995556 202 178 128 0.19
123 0.11972903692731685 -0.023567420239144432 0.9878311022655109 113 80 41 0.25
124 0.1612028542931767 -0.02034454399965125 0.9872619849330423 100 64 11 0.25
125 0.25288707649781383 0.03255778360087092 0.9722430856781061 35 18 9 0.19
126 0.03714559897805457 0.032263853542618626 0.9802870655729425 114 110 97 0.22
127 0.24340361476839828 0.048605421364041904 0.9670959045595758 125 125 118 0.2
128 0.3148028559642793 0.0653306847185111 0.9628688787199398 62 62 58 0.42
129 0.19507917746658374 -0.14835801746827063 1.0041431372174718 128 117 90 0.14
130 0.38237665135127946 -0.10401922726539903 0.9923973821395494 116 129 114 0.29
